Model,Role,Condition,Harm,Metric,trials,mean,sd,se,ci,order1,order2,Format,Cases,Grading,Type,Label
llama-4-maverick+llama-4-scout,Agent2,Guardian,Mild,nnh,3,3.242,0.289,0.167,0.327,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+llama-4-scout
llama-4-maverick+llama-4-scout,Agent2,Guardian,Moderate,nnh,3,1.961,0.038,0.022,0.044,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+llama-4-scout
llama-4-maverick+llama-4-scout,Agent2,Guardian,Severe,nnh,3,8.586,1.723,0.995,1.95,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+llama-4-scout
llama-4-maverick+o3-mini,Agent2,Guardian,None,nnh,3,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+o3-mini
llama-4-maverick+o3-mini,Agent2,Guardian,Uncertain,nnh,3,6.984,0.275,0.159,0.311,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+o3-mini
llama-4-maverick+o3-mini,Agent2,Guardian,Mild,nnh,3,3.262,0.062,0.036,0.07,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+o3-mini
llama-4-maverick+o3-mini,Agent2,Guardian,Moderate,nnh,3,2.29,0.031,0.018,0.035,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+o3-mini
llama-4-maverick+o3-mini,Agent2,Guardian,Severe,nnh,3,9.141,0.834,0.482,0.944,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-maverick+o3-mini
llama-4-scout+claude-3.7-sonnet,Agent2,Guardian,None,nnh,3,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+claude-3.7-sonnet
llama-4-scout+claude-3.7-sonnet,Agent2,Guardian,Uncertain,nnh,3,4.571,0.417,0.241,0.472,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+claude-3.7-sonnet
llama-4-scout+claude-3.7-sonnet,Agent2,Guardian,Mild,nnh,3,2.895,0.214,0.123,0.242,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+claude-3.7-sonnet
llama-4-scout+claude-3.7-sonnet,Agent2,Guardian,Moderate,nnh,3,3.17,0.241,0.139,0.273,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+claude-3.7-sonnet
llama-4-scout+claude-3.7-sonnet,Agent2,Guardian,Severe,nnh,3,8.838,0.437,0.253,0.495,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+claude-3.7-sonnet
llama-4-scout+deepseek-r1,Agent2,Guardian,None,nnh,5,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+deepseek-r1
llama-4-scout+deepseek-r1,Agent2,Guardian,Uncertain,nnh,5,5.078,0.924,0.413,0.81,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+deepseek-r1
llama-4-scout+deepseek-r1,Agent2,Guardian,Mild,nnh,5,3.221,0.247,0.111,0.217,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+deepseek-r1
llama-4-scout+deepseek-r1,Agent2,Guardian,Moderate,nnh,5,2.692,0.245,0.11,0.215,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+deepseek-r1
llama-4-scout+deepseek-r1,Agent2,Guardian,Severe,nnh,5,9.333,0.913,0.408,0.8,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+deepseek-r1
llama-4-scout+gemini-2.0-flash,Agent2,Guardian,None,nnh,3,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.0-flash
llama-4-scout+gemini-2.0-flash,Agent2,Guardian,Uncertain,nnh,3,31.667,16.073,9.28,18.188,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.0-flash
llama-4-scout+gemini-2.0-flash,Agent2,Guardian,Mild,nnh,3,3.017,0.286,0.165,0.323,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.0-flash
llama-4-scout+gemini-2.0-flash,Agent2,Guardian,Moderate,nnh,3,1.924,0.063,0.036,0.071,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.0-flash
llama-4-scout+gemini-2.0-flash,Agent2,Guardian,Severe,nnh,3,9.091,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.0-flash
llama-4-scout+gemini-2.5-pro,Agent2,Guardian,None,nnh,10,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro
llama-4-scout+gemini-2.5-pro,Agent2,Guardian,Uncertain,nnh,10,5.224,1.164,0.368,0.722,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro
llama-4-scout+gemini-2.5-pro,Agent2,Guardian,Mild,nnh,10,2.782,0.289,0.091,0.179,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro
llama-4-scout+gemini-2.5-pro,Agent2,Guardian,Moderate,nnh,10,2.888,0.307,0.097,0.19,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro
llama-4-scout+gemini-2.5-pro,Agent2,Guardian,Severe,nnh,10,13.968,4.478,1.416,2.776,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gemini-2.5-pro
llama-4-scout+gpt-4.1,Agent2,Guardian,None,nnh,3,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-4.1
llama-4-scout+gpt-4.1,Agent2,Guardian,Uncertain,nnh,3,13.426,2.891,1.669,3.272,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-4.1
llama-4-scout+gpt-4.1,Agent2,Guardian,Mild,nnh,3,4.491,0.937,0.541,1.061,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-4.1
llama-4-scout+gpt-4.1,Agent2,Guardian,Moderate,nnh,3,2.298,0.303,0.175,0.342,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-4.1
llama-4-scout+gpt-4.1,Agent2,Guardian,Severe,nnh,3,4.013,0.29,0.167,0.328,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-4.1
llama-4-scout+gpt-5,Agent2,Guardian,None,nnh,3,20.556,4.194,2.422,4.746,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-5
llama-4-scout+gpt-5,Agent2,Guardian,Uncertain,nnh,3,4.69,0.125,0.072,0.141,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-5
llama-4-scout+gpt-5,Agent2,Guardian,Mild,nnh,3,3.53,0.071,0.041,0.08,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-5
llama-4-scout+gpt-5,Agent2,Guardian,Moderate,nnh,3,3.03,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-5
llama-4-scout+gpt-5,Agent2,Guardian,Severe,nnh,3,8.12,0.37,0.214,0.419,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-5
llama-4-scout+gpt-5-mini,Agent2,Guardian,None,nnh,3,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-5-mini
llama-4-scout+gpt-5-mini,Agent2,Guardian,Uncertain,nnh,3,4.464,0.581,0.336,0.658,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-5-mini
llama-4-scout+gpt-5-mini,Agent2,Guardian,Mild,nnh,3,3.123,0.39,0.225,0.442,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-5-mini
llama-4-scout+gpt-5-mini,Agent2,Guardian,Moderate,nnh,3,3.159,0.058,0.034,0.066,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-5-mini
llama-4-scout+gpt-5-mini,Agent2,Guardian,Severe,nnh,3,7.692,0,0,0,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+gpt-5-mini
llama-4-scout+llama-4-maverick,Agent2,Guardian,None,nnh,3,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-maverick
llama-4-scout+llama-4-maverick,Agent2,Guardian,Uncertain,nnh,3,32.54,17.87,10.317,20.222,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-maverick
llama-4-scout+llama-4-maverick,Agent2,Guardian,Mild,nnh,3,3.77,0.344,0.198,0.389,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-maverick
llama-4-scout+llama-4-maverick,Agent2,Guardian,Moderate,nnh,3,1.776,0.048,0.028,0.054,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-maverick
llama-4-scout+llama-4-maverick,Agent2,Guardian,Severe,nnh,3,7.723,0.596,0.344,0.674,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-maverick
llama-4-scout+llama-4-scout,Agent2,Guardian,None,nnh,3,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-scout
llama-4-scout+llama-4-scout,Agent2,Guardian,Uncertain,nnh,3,51.111,42.861,24.746,48.501,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-scout
llama-4-scout+llama-4-scout,Agent2,Guardian,Mild,nnh,3,4.065,0.257,0.148,0.291,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-scout
llama-4-scout+llama-4-scout,Agent2,Guardian,Moderate,nnh,3,1.777,0.067,0.039,0.076,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-scout
llama-4-scout+llama-4-scout,Agent2,Guardian,Severe,nnh,3,6.296,0.642,0.37,0.726,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+llama-4-scout
llama-4-scout+o3-mini,Agent2,Guardian,None,nnh,3,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+o3-mini
llama-4-scout+o3-mini,Agent2,Guardian,Uncertain,nnh,3,6.608,0.957,0.552,1.083,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+o3-mini
llama-4-scout+o3-mini,Agent2,Guardian,Mild,nnh,3,3.041,0.417,0.241,0.471,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+o3-mini
llama-4-scout+o3-mini,Agent2,Guardian,Moderate,nnh,3,2.486,0.153,0.089,0.174,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+o3-mini
llama-4-scout+o3-mini,Agent2,Guardian,Severe,nnh,3,9.764,1.166,0.673,1.32,NA,NA,NO,AllCases,Unanimous,AllHarm,llama-4-scout+o3-mini
o3-mini+claude-3.7-sonnet,Agent2,Guardian,None,nnh,4,31.25,4.167,2.083,4.083,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+claude-3.7-sonnet
o3-mini+claude-3.7-sonnet,Agent2,Guardian,Uncertain,nnh,4,5.893,0.284,0.142,0.278,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+claude-3.7-sonnet
o3-mini+claude-3.7-sonnet,Agent2,Guardian,Mild,nnh,4,3.058,0.141,0.071,0.139,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+claude-3.7-sonnet
o3-mini+claude-3.7-sonnet,Agent2,Guardian,Moderate,nnh,4,2.708,0.134,0.067,0.131,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+claude-3.7-sonnet
o3-mini+claude-3.7-sonnet,Agent2,Guardian,Severe,nnh,4,10.051,0.827,0.413,0.81,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+claude-3.7-sonnet
o3-mini+deepseek-r1,Agent2,Guardian,None,nnh,3,34.444,15.031,8.678,17.009,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+deepseek-r1
o3-mini+deepseek-r1,Agent2,Guardian,Uncertain,nnh,3,8.889,0.962,0.556,1.089,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+deepseek-r1
o3-mini+deepseek-r1,Agent2,Guardian,Mild,nnh,3,3.548,0.311,0.179,0.352,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+deepseek-r1
o3-mini+deepseek-r1,Agent2,Guardian,Moderate,nnh,3,2.408,0.173,0.1,0.196,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+deepseek-r1
o3-mini+deepseek-r1,Agent2,Guardian,Severe,nnh,3,6.564,0.636,0.367,0.72,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+deepseek-r1
o3-mini+gemini-2.0-flash,Agent2,Guardian,None,nnh,3,83.333,28.868,16.667,32.667,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.0-flash
o3-mini+gemini-2.0-flash,Agent2,Guardian,Uncertain,nnh,3,6.06,0.721,0.416,0.816,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.0-flash
o3-mini+gemini-2.0-flash,Agent2,Guardian,Mild,nnh,3,3.755,0.159,0.092,0.179,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.0-flash
o3-mini+gemini-2.0-flash,Agent2,Guardian,Moderate,nnh,3,2.568,0.117,0.068,0.132,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.0-flash
o3-mini+gemini-2.0-flash,Agent2,Guardian,Severe,nnh,3,6.144,0.453,0.261,0.512,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.0-flash
o3-mini+gemini-2.5-pro,Agent2,Guardian,None,nnh,3,56.667,40.415,23.333,45.733,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.5-pro
o3-mini+gemini-2.5-pro,Agent2,Guardian,Uncertain,nnh,3,4.731,0.549,0.317,0.621,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.5-pro
o3-mini+gemini-2.5-pro,Agent2,Guardian,Mild,nnh,3,3.093,0.055,0.032,0.062,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.5-pro
o3-mini+gemini-2.5-pro,Agent2,Guardian,Moderate,nnh,3,3.159,0.058,0.034,0.066,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.5-pro
o3-mini+gemini-2.5-pro,Agent2,Guardian,Severe,nnh,3,8.372,0.7,0.404,0.792,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gemini-2.5-pro
o3-mini+gpt-4.1,Agent2,Guardian,None,nnh,3,83.333,28.868,16.667,32.667,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-4.1
o3-mini+gpt-4.1,Agent2,Guardian,Uncertain,nnh,3,17.593,6.991,4.036,7.911,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-4.1
o3-mini+gpt-4.1,Agent2,Guardian,Mild,nnh,3,4.968,0.605,0.349,0.684,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-4.1
o3-mini+gpt-4.1,Agent2,Guardian,Moderate,nnh,3,2.758,0.162,0.094,0.184,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-4.1
o3-mini+gpt-4.1,Agent2,Guardian,Severe,nnh,3,2.81,0.16,0.092,0.181,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-4.1
o3-mini+gpt-5,Agent2,Guardian,None,nnh,3,17.5,4.33,2.5,4.9,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-5
o3-mini+gpt-5,Agent2,Guardian,Uncertain,nnh,3,6.199,0.81,0.468,0.917,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-5
o3-mini+gpt-5,Agent2,Guardian,Mild,nnh,3,3.58,0.533,0.308,0.603,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-5
o3-mini+gpt-5,Agent2,Guardian,Moderate,nnh,3,2.891,0.169,0.098,0.192,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-5
o3-mini+gpt-5,Agent2,Guardian,Severe,nnh,3,6.825,0.275,0.159,0.311,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-5
o3-mini+gpt-5-mini,Agent2,Guardian,None,nnh,3,55.556,38.49,22.222,43.556,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-5-mini
o3-mini+gpt-5-mini,Agent2,Guardian,Uncertain,nnh,3,5.008,0.251,0.145,0.284,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-5-mini
o3-mini+gpt-5-mini,Agent2,Guardian,Mild,nnh,3,3.53,0.071,0.041,0.08,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-5-mini
o3-mini+gpt-5-mini,Agent2,Guardian,Moderate,nnh,3,3.133,0.196,0.113,0.222,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-5-mini
o3-mini+gpt-5-mini,Agent2,Guardian,Severe,nnh,3,5.773,0.189,0.109,0.214,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+gpt-5-mini
o3-mini+llama-4-maverick,Agent2,Guardian,None,nnh,3,33.333,14.434,8.333,16.333,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-maverick
o3-mini+llama-4-maverick,Agent2,Guardian,Uncertain,nnh,3,11.496,2.619,1.512,2.963,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-maverick
o3-mini+llama-4-maverick,Agent2,Guardian,Mild,nnh,3,4.111,0.096,0.056,0.109,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-maverick
o3-mini+llama-4-maverick,Agent2,Guardian,Moderate,nnh,3,2.48,0.035,0.02,0.04,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-maverick
o3-mini+llama-4-maverick,Agent2,Guardian,Severe,nnh,3,4.353,0.189,0.109,0.214,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-maverick
o3-mini+llama-4-scout,Agent2,Guardian,None,nnh,3,30.556,4.811,2.778,5.444,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout
o3-mini+llama-4-scout,Agent2,Guardian,Uncertain,nnh,3,13.056,3.368,1.944,3.811,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout
o3-mini+llama-4-scout,Agent2,Guardian,Mild,nnh,3,4.004,0.16,0.093,0.181,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout
o3-mini+llama-4-scout,Agent2,Guardian,Moderate,nnh,3,2.421,0.069,0.04,0.078,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout
o3-mini+llama-4-scout,Agent2,Guardian,Severe,nnh,3,4.486,0.239,0.138,0.271,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+llama-4-scout
o3-mini+o3-mini,Agent2,Guardian,None,nnh,3,33.333,14.434,8.333,16.333,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+o3-mini
o3-mini+o3-mini,Agent2,Guardian,Uncertain,nnh,3,11.496,2.619,1.512,2.963,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+o3-mini
o3-mini+o3-mini,Agent2,Guardian,Mild,nnh,3,4.171,0.174,0.1,0.197,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+o3-mini
o3-mini+o3-mini,Agent2,Guardian,Moderate,nnh,3,2.501,0.063,0.036,0.071,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+o3-mini
o3-mini+o3-mini,Agent2,Guardian,Severe,nnh,3,4.227,0.105,0.06,0.118,NA,NA,NO,AllCases,Unanimous,AllHarm,o3-mini+o3-mini
deepseek-r1+claude-3.7-sonnet,Agent2,Stewardship,None,nnh,5,76.667,32.489,14.53,28.478,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+claude-3.7-sonnet
deepseek-r1+claude-3.7-sonnet,Agent2,Stewardship,Uncertain,nnh,5,5.086,0.457,0.204,0.401,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+claude-3.7-sonnet
deepseek-r1+claude-3.7-sonnet,Agent2,Stewardship,Mild,nnh,5,3.574,0.35,0.156,0.306,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+claude-3.7-sonnet
deepseek-r1+claude-3.7-sonnet,Agent2,Stewardship,Moderate,nnh,5,2.753,0.14,0.063,0.123,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+claude-3.7-sonnet
deepseek-r1+claude-3.7-sonnet,Agent2,Stewardship,Severe,nnh,5,7.217,0.824,0.368,0.722,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+claude-3.7-sonnet
deepseek-r1+gemini-2.0-flash,Agent2,Stewardship,None,nnh,7,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash
deepseek-r1+gemini-2.0-flash,Agent2,Stewardship,Uncertain,nnh,7,5.156,0.517,0.195,0.383,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash
deepseek-r1+gemini-2.0-flash,Agent2,Stewardship,Mild,nnh,7,3.249,0.281,0.106,0.208,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash
deepseek-r1+gemini-2.0-flash,Agent2,Stewardship,Moderate,nnh,7,2.534,0.213,0.081,0.158,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash
deepseek-r1+gemini-2.0-flash,Agent2,Stewardship,Severe,nnh,7,11.372,2.403,0.908,1.78,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+gemini-2.0-flash
deepseek-r1+llama-4-maverick,Agent2,Stewardship,None,nnh,10,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-maverick
deepseek-r1+llama-4-maverick,Agent2,Stewardship,Uncertain,nnh,10,4.876,0.616,0.195,0.382,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-maverick
deepseek-r1+llama-4-maverick,Agent2,Stewardship,Mild,nnh,10,3.492,0.339,0.107,0.21,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-maverick
deepseek-r1+llama-4-maverick,Agent2,Stewardship,Moderate,nnh,10,2.521,0.28,0.089,0.174,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-maverick
deepseek-r1+llama-4-maverick,Agent2,Stewardship,Severe,nnh,10,10.842,2.342,0.741,1.451,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1+llama-4-maverick
gemini-2.0-flash+claude-3.7-sonnet,Agent2,Stewardship,None,nnh,9,70.37,28.599,9.533,18.685,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet
gemini-2.0-flash+claude-3.7-sonnet,Agent2,Stewardship,Uncertain,nnh,9,5.111,0.567,0.189,0.37,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet
gemini-2.0-flash+claude-3.7-sonnet,Agent2,Stewardship,Mild,nnh,9,3.54,0.381,0.127,0.249,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet
gemini-2.0-flash+claude-3.7-sonnet,Agent2,Stewardship,Moderate,nnh,9,2.762,0.174,0.058,0.114,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet
gemini-2.0-flash+claude-3.7-sonnet,Agent2,Stewardship,Severe,nnh,9,7.412,0.928,0.309,0.606,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+claude-3.7-sonnet
gemini-2.0-flash+llama-4-maverick,Agent2,Stewardship,None,nnh,5,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-maverick
gemini-2.0-flash+llama-4-maverick,Agent2,Stewardship,Uncertain,nnh,5,7.913,0.986,0.441,0.864,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-maverick
gemini-2.0-flash+llama-4-maverick,Agent2,Stewardship,Mild,nnh,5,3.196,0.21,0.094,0.184,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-maverick
gemini-2.0-flash+llama-4-maverick,Agent2,Stewardship,Moderate,nnh,5,2.26,0.152,0.068,0.134,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-maverick
gemini-2.0-flash+llama-4-maverick,Agent2,Stewardship,Severe,nnh,5,9.152,0.834,0.373,0.731,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-maverick
gemini-2.0-flash+llama-4-scout,Agent2,Stewardship,None,nnh,1,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout
gemini-2.0-flash+llama-4-scout,Agent2,Stewardship,Uncertain,nnh,1,7.692,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout
gemini-2.0-flash+llama-4-scout,Agent2,Stewardship,Mild,nnh,1,3.333,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout
gemini-2.0-flash+llama-4-scout,Agent2,Stewardship,Moderate,nnh,1,2.222,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout
gemini-2.0-flash+llama-4-scout,Agent2,Stewardship,Severe,nnh,1,8.333,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+llama-4-scout
gemini-2.0-flash+o3-mini,Agent2,Stewardship,None,nnh,5,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+o3-mini
gemini-2.0-flash+o3-mini,Agent2,Stewardship,Uncertain,nnh,5,5.086,0.495,0.221,0.434,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+o3-mini
gemini-2.0-flash+o3-mini,Agent2,Stewardship,Mild,nnh,5,3.251,0.132,0.059,0.116,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+o3-mini
gemini-2.0-flash+o3-mini,Agent2,Stewardship,Moderate,nnh,5,2.68,0.148,0.066,0.129,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+o3-mini
gemini-2.0-flash+o3-mini,Agent2,Stewardship,Severe,nnh,5,8.967,1.428,0.638,1.251,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash+o3-mini
gemini-2.5-pro+gpt-4.1,Agent2,Stewardship,None,nnh,4,NA,NA,NA,NA,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-4.1
gemini-2.5-pro+gpt-4.1,Agent2,Stewardship,Uncertain,nnh,4,8.013,1.41,0.705,1.382,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-4.1
gemini-2.5-pro+gpt-4.1,Agent2,Stewardship,Mild,nnh,4,4.194,0.401,0.2,0.393,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro+gpt-4.1
